test_person,reference_image,test_image,img_size,response,resptime
Testperson 7,10,70,11088,4,1.026793
Testperson 7,07,100,1757,0,2.105475
Testperson 7,08,80,10202,3,2.411104
Testperson 7,06,60,32304,4,3.977334
Testperson 7,04,60,29570,4,3.640082
Testperson 7,02,40,18581,6,1.202528
Testperson 7,01,100,2453,0,1.360909
Testperson 7,10,20,27742,5,1.669179
Testperson 7,07,60,14371,4,2.779671
Testperson 7,10,40,17868,6,2.255053
Testperson 7,08,40,22279,5,1.459015
Testperson 7,04,50,34081,6,4.332179
Testperson 7,07,30,24330,6,1.622139
Testperson 7,03,100,3673,1,1.940214
Testperson 7,02,20,30292,6,2.607251
Testperson 7,09,50,24634,5,1.319878
Testperson 7,10,30,21541,6,2.550168
Testperson 7,03,80,20670,4,1.391374
Testperson 7,06,20,66681,6,4.252926
Testperson 7,03,50,37120,6,2.127806
Testperson 7,01,10,78200,5,2.857664
Testperson 7,10,90,5113,2,2.190388
Testperson 7,05,60,22344,5,2.827108
Testperson 7,10,100,2234,1,2.041644
Testperson 7,09,90,7945,2,2.348989
Testperson 7,06,50,37689,5,4.764076
Testperson 7,06,30,52569,6,1.110141
Testperson 7,07,90,4373,1,3.035825
Testperson 7,08,50,19384,5,2.743564
Testperson 7,03,70,27207,4,1.994434
Testperson 7,04,40,38864,5,2.068433
Testperson 7,08,90,6055,2,2.390518
Testperson 7,06,70,26423,3,3.018884
Testperson 7,06,90,10657,1,2.04028
Testperson 7,07,20,31227,5,3.958452
Testperson 7,03,60,32321,5,1.85374
Testperson 7,01,70,21606,4,4.017742
Testperson 7,10,60,13338,6,2.014315
Testperson 7,02,30,23063,6,1.843771
Testperson 7,07,10,48214,6,1.575553
Testperson 8,08,30,26804,6,17.39316
Testperson 8,04,30,46006,6,9.089288
Testperson 8,02,10,47183,6,3.811926
Testperson 8,05,70,18298,5,4.462188
Testperson 8,05,40,30226,5,7.276009
Testperson 8,05,20,45730,6,2.846018
Testperson 8,01,50,30418,5,8.066345
Testperson 8,02,100,1878,0,2.817881
Testperson 8,01,30,42040,6,10.782978
Testperson 8,01,60,26071,5,2.4532
Testperson 8,09,100,2511,0,7.983945
Testperson 8,05,90,7623,1,7.48757
Testperson 8,07,40,19798,5,5.867242
Testperson 8,09,20,43540,6,16.02207
Testperson 8,03,40,42141,5,7.286256
Testperson 8,03,90,12381,2,9.847714
Testperson 8,02,70,10528,4,5.04439
Testperson 8,09,10,64889,6,31.16211
Testperson 8,01,90,8821,1,6.15691
Testperson 8,02,80,7533,3,40.631911
Testperson 8,06,40,43737,5,4.661038
Testperson 8,02,90,4151,1,6.602048
Testperson 8,07,80,8245,3,3.893013
Testperson 8,05,50,26175,6,10.379639
Testperson 8,04,20,57167,6,10.870352
Testperson 8,06,80,19411,2,6.750698
Testperson 8,05,30,36281,6,8.291642
Testperson 8,05,80,13466,4,8.058923
Testperson 8,04,90,11258,2,7.940541
Testperson 8,10,10,43294,6,8.220162
Testperson 8,03,10,85126,6,3.700334
Testperson 8,08,10,51322,6,6.298093
Testperson 8,04,10,81772,6,9.333544
Testperson 8,04,80,18731,5,9.702018
Testperson 8,07,70,11592,5,5.523608
Testperson 8,04,100,4048,0,5.175393
Testperson 8,08,70,13727,4,11.928279
Testperson 8,07,50,17001,5,3.672278
Testperson 8,03,20,61290,6,4.464772
Testperson 8,09,40,28271,6,16.144662
Testperson 8,04,70,24746,5,6.264058
Testperson 8,10,80,8359,3,8.414145
Testperson 8,08,100,2180,0,4.370466
Testperson 8,06,100,2903,0,3.651127
Testperson 8,09,30,34009,5,10.69119
Testperson 8,10,50,15545,5,8.191158
Testperson 8,05,10,67123,6,6.181402
Testperson 8,08,20,34101,6,4.610986
Testperson 8,01,80,15978,3,10.528288
Testperson 8,09,80,13392,2,6.625261
Testperson 8,05,100,2453,0,2.218437
Testperson 8,02,50,15773,5,4.975264
Testperson 8,01,20,53424,5,6.011091
Testperson 8,02,60,13203,5,4.45888
Testperson 8,09,70,17639,4,13.670686
Testperson 8,06,10,95297,6,16.645896
Testperson 8,08,60,16605,4,7.844267
Testperson 8,03,30,49608,6,7.428484
Testperson 8,09,60,21225,5,11.780372
Testperson 8,01,40,34958,5,9.176362
Testperson 8,10,70,11088,4,8.178399
Testperson 8,07,100,1757,0,1.542765
Testperson 8,08,80,10202,3,5.212473
Testperson 8,06,60,32304,3,6.379806
Testperson 8,04,60,29570,5,10.974816
Testperson 8,02,40,18581,5,17.556418
Testperson 8,01,100,2453,0,1.657103
Testperson 8,10,20,27742,6,6.578074
Testperson 8,07,60,14371,5,5.286818
Testperson 8,10,40,17868,6,5.630336
Testperson 8,08,40,22279,6,7.801446
Testperson 8,04,50,34081,5,5.036435
Testperson 8,07,30,24330,6,3.127091
Testperson 8,03,100,3673,0,2.155438
Testperson 8,02,20,30292,6,5.70886
Testperson 8,09,50,24634,5,4.171
Testperson 8,10,30,21541,6,3.123921
Testperson 8,03,80,20670,3,8.275489
Testperson 8,06,20,66681,5,8.577787
Testperson 8,03,50,37120,5,5.050414
Testperson 8,01,10,78200,6,5.660913
Testperson 8,10,90,5113,2,3.973691
Testperson 8,05,60,22344,3,14.225904
Testperson 8,10,100,2234,0,10.138783
Testperson 8,09,90,7945,1,8.723578
Testperson 8,06,50,37689,5,13.600523
Testperson 8,06,30,52569,6,7.56952
Testperson 8,07,90,4373,1,8.00193
Testperson 8,08,50,19384,5,5.383859
Testperson 8,03,70,27207,2,5.186284
Testperson 8,04,40,38864,6,7.671866
Testperson 8,08,90,6055,1,6.17665
Testperson 8,06,70,26423,5,15.177159
Testperson 8,06,90,10657,2,14.870867
Testperson 8,07,20,31227,6,5.470975
Testperson 8,03,60,32321,4,9.275698
Testperson 8,01,70,21606,5,3.510257
Testperson 8,10,60,13338,5,4.211588
Testperson 8,02,30,23063,6,12.631698
Testperson 8,07,10,48214,6,2.671956
Testperson 9,08,30,26804,6,13.995727
Testperson 9,04,30,46006,6,43.302845
Testperson 9,02,10,47183,6,5.859817
Testperson 9,05,70,18298,3,18.763444
Testperson 9,05,40,30226,5,36.62272
Testperson 9,05,20,45730,6,12.378926
Testperson 9,01,50,30418,3,7.261492
Testperson 9,02,100,1878,0,4.387457
Testperson 9,01,30,42040,5,6.747937
Testperson 9,01,60,26071,2,12.652056
Testperson 9,09,100,2511,0,2.507362
Testperson 9,05,90,7623,0,1.634981
Testperson 9,07,40,19798,6,5.779115
Testperson 9,09,20,43540,6,3.468987
Testperson 9,03,40,42141,6,4.012534
Testperson 9,03,90,12381,2,5.100936
Testperson 9,02,70,10528,2,2.769396
Testperson 9,09,10,64889,6,4.44389
Testperson 9,01,90,8821,0,2.889856
Testperson 9,02,80,7533,1,3.451061
Testperson 9,06,40,43737,6,3.52993
Testperson 9,02,90,4151,1,2.685358
Testperson 9,07,80,8245,1,4.561796
Testperson 9,05,50,26175,2,11.735608
Testperson 9,04,20,57167,5,8.663873
Testperson 9,06,80,19411,2,5.744165
Testperson 9,05,30,36281,6,14.448895
Testperson 9,05,80,13466,2,4.400328
Testperson 9,04,90,11258,1,2.245535
Testperson 9,10,10,43294,6,2.519301
Testperson 9,03,10,85126,6,2.205285
Testperson 9,08,10,51322,6,4.66165
Testperson 9,04,10,81772,6,5.572769
Testperson 9,04,80,18731,3,6.656508
Testperson 9,07,70,11592,2,3.6725
Testperson 9,04,100,4048,0,1.924196
Testperson 9,08,70,13727,3,5.040947
Testperson 9,07,50,17001,4,10.285713
Testperson 9,03,20,61290,6,4.283495
Testperson 9,09,40,28271,6,2.176317
Testperson 9,04,70,24746,4,3.207933
Testperson 9,10,80,8359,4,4.379996
Testperson 9,08,100,2180,0,1.910482
Testperson 9,06,100,2903,0,1.250413
Testperson 9,09,30,34009,5,5.855812
Testperson 9,10,50,15545,6,3.730781
Testperson 9,05,10,67123,4,6.132596
Testperson 9,08,20,34101,6,2.961437
Testperson 9,01,80,15978,2,4.794037
Testperson 9,09,80,13392,2,2.011883
Testperson 9,05,100,2453,0,1.541857
Testperson 9,02,50,15773,3,6.225975
Testperson 9,01,20,53424,6,9.078856
Testperson 9,02,60,13203,3,2.456445
Testperson 9,09,70,17639,3,2.715253
Testperson 9,06,10,95297,6,3.645525
Testperson 9,08,60,16605,2,8.557905
Testperson 9,03,30,49608,6,5.071303
Testperson 9,09,60,21225,4,8.243852
Testperson 9,01,40,34958,5,10.888287
Testperson 9,10,70,11088,5,5.726261
Testperson 9,07,100,1757,0,1.601655
Testperson 9,08,80,10202,1,3.130174
Testperson 9,06,60,32304,6,5.976044
Testperson 9,04,60,29570,4,5.914122
Testperson 9,02,40,18581,5,4.039831
Testperson 9,01,100,2453,0,1.378638
Testperson 9,10,20,27742,6,3.805481
Testperson 9,07,60,14371,4,3.277044
Testperson 9,10,40,17868,6,2.951711
Testperson 9,08,40,22279,6,3.007161
Testperson 9,04,50,34081,4,8.437262
Testperson 9,07,30,24330,6,3.658464
Testperson 9,03,100,3673,0,1.663168
Testperson 9,02,20,30292,6,3.6589
Testperson 9,09,50,24634,5,3.393149
Testperson 9,10,30,21541,6,2.855953
Testperson 9,03,80,20670,3,6.779221
Testperson 9,06,20,66681,5,6.825451
Testperson 9,03,50,37120,6,2.682662
Testperson 9,01,10,78200,6,6.535849
Testperson 9,10,90,5113,1,7.820543
Testperson 9,05,60,22344,2,6.087449
Testperson 9,10,100,2234,0,1.542129
Testperson 9,09,90,7945,0,1.653963
Testperson 9,06,50,37689,5,5.752182
Testperson 9,06,30,52569,6,6.554564
Testperson 9,07,90,4373,0,3.809752
Testperson 9,08,50,19384,6,6.286576
Testperson 9,03,70,27207,2,8.88751
Testperson 9,04,40,38864,4,8.61014
Testperson 9,08,90,6055,1,3.246119
Testperson 9,06,70,26423,5,7.071047
Testperson 9,06,90,10657,1,12.513129
Testperson 9,07,20,31227,6,3.051931
Testperson 9,03,60,32321,3,11.799214
Testperson 9,01,70,21606,2,5.957489
Testperson 9,10,60,13338,4,3.744103
Testperson 9,02,30,23063,5,4.454694
Testperson 9,07,10,48214,6,3.514657
Testperson 10,08,30,26804,6,30.575941
Testperson 10,04,30,46006,6,12.511365
Testperson 10,02,10,47183,6,17.077813
Testperson 10,05,70,18298,5,12.054528
Testperson 10,05,40,30226,5,2.165925
Testperson 10,05,20,45730,5,23.268169
Testperson 10,01,50,30418,4,20.177643
Testperson 10,02,100,1878,0,8.324887
Testperson 10,01,30,42040,4,8.311286
Testperson 10,01,60,26071,3,10.259843
Testperson 10,09,100,2511,0,9.855019
Testperson 10,05,90,7623,1,20.469891
Testperson 10,07,40,19798,3,12.042947
Testperson 10,09,20,43540,5,16.043719
Testperson 10,03,40,42141,6,7.215448
Testperson 10,03,90,12381,4,8.405225
Testperson 10,02,70,10528,4,3.234862
Testperson 10,09,10,64889,6,5.835458
Testperson 10,01,90,8821,1,8.995742
Testperson 10,02,80,7533,1,3.584419
Testperson 10,06,40,43737,2,7.08797
Testperson 10,02,90,4151,1,5.986969
Testperson 10,07,80,8245,1,2.470028
Testperson 10,05,50,26175,2,3.5454
Testperson 10,04,20,57167,6,7.080393
Testperson 10,06,80,19411,4,5.922814
Testperson 10,05,30,36281,5,8.580997
Testperson 10,05,80,13466,4,1.990812
Testperson 10,04,90,11258,4,3.080932
Testperson 10,10,10,43294,6,10.155954
Testperson 10,03,10,85126,6,2.933466
Testperson 10,08,10,51322,6,4.369598
Testperson 10,04,10,81772,6,5.012913
Testperson 10,04,80,18731,6,2.593945
Testperson 10,07,70,11592,5,9.196002
Testperson 10,04,100,4048,0,3.294749
Testperson 10,08,70,13727,5,5.210476
Testperson 10,07,50,17001,6,6.154862
Testperson 10,03,20,61290,6,2.817136
Testperson 10,09,40,28271,6,5.012154
Testperson 10,04,70,24746,5,3.247629
Testperson 10,10,80,8359,5,6.660843
Testperson 10,08,100,2180,0,2.490178
Testperson 10,06,100,2903,0,1.640716
Testperson 10,09,30,34009,6,4.538004
Testperson 10,10,50,15545,6,2.514339
Testperson 10,05,10,67123,5,8.480879
Testperson 10,08,20,34101,6,3.701238
Testperson 10,01,80,15978,4,3.087604
Testperson 10,09,80,13392,4,2.237109
Testperson 10,05,100,2453,0,3.302166
Testperson 10,02,50,15773,5,10.780985
Testperson 10,01,20,53424,5,1.84196
Testperson 10,02,60,13203,5,2.971045
Testperson 10,09,70,17639,4,3.794867
Testperson 10,06,10,95297,5,6.943651
Testperson 10,08,60,16605,5,4.263031
Testperson 10,03,30,49608,6,31.396415
Testperson 10,09,60,21225,6,2.276276
Testperson 10,01,40,34958,6,3.127788
Testperson 10,10,70,11088,6,6.429996
Testperson 10,07,100,1757,0,2.296346
Testperson 10,08,80,10202,3,9.316127
Testperson 10,06,60,32304,6,5.903094
Testperson 10,04,60,29570,6,4.05305
Testperson 10,02,40,18581,6,4.168499
Testperson 10,01,100,2453,0,1.616484
Testperson 10,10,20,27742,6,3.593103
Testperson 10,07,60,14371,6,6.747615
Testperson 10,10,40,17868,6,4.384549
Testperson 10,08,40,22279,6,4.386996
Testperson 10,04,50,34081,6,6.436198
Testperson 10,07,30,24330,6,3.217023
Testperson 10,03,100,3673,0,1.824326
Testperson 10,02,20,30292,6,6.655578
Testperson 10,09,50,24634,6,8.094838
Testperson 10,10,30,21541,6,5.301411
Testperson 10,03,80,20670,4,4.657966
Testperson 10,06,20,66681,5,8.005697
Testperson 10,03,50,37120,6,5.261742
Testperson 10,01,10,78200,5,16.248432
Testperson 10,10,90,5113,2,5.586158
Testperson 10,05,60,22344,4,4.569685
Testperson 10,10,100,2234,0,1.609056
Testperson 10,09,90,7945,2,5.278616
Testperson 10,06,50,37689,6,4.610531
Testperson 10,06,30,52569,6,4.034036
Testperson 10,07,90,4373,2,4.554031
Testperson 10,08,50,19384,6,3.924935
Testperson 10,03,70,27207,5,1.778346
Testperson 10,04,40,38864,6,1.650532
Testperson 10,08,90,6055,2,2.894053
Testperson 10,06,70,26423,4,6.414133
Testperson 10,06,90,10657,1,5.877335
Testperson 10,07,20,31227,6,2.619268
Testperson 10,03,60,32321,6,2.725075
Testperson 10,01,70,21606,6,3.53638
Testperson 10,10,60,13338,6,5.043791
Testperson 10,02,30,23063,6,1.589068
Testperson 10,07,10,48214,6,2.725512
