test_person,reference_image,test_image,img_size,response,resptime
Testperson 2,02,50,15773,4,2.323935
Testperson 2,01,20,53424,5,3.352524
Testperson 2,02,60,13203,4,3.414847
Testperson 2,09,70,17639,3,1.552884
Testperson 2,06,10,95297,4,2.498165
Testperson 2,08,60,16605,4,1.447703
Testperson 2,03,30,49608,6,7.472583
Testperson 2,09,60,21225,4,1.74368
Testperson 2,01,40,34958,4,2.594382
Testperson 2,10,70,11088,5,5.390528
Testperson 2,07,100,1757,0,1.048154
Testperson 2,08,80,10202,2,1.616527
Testperson 2,06,60,32304,3,2.396967
Testperson 2,04,60,29570,5,1.729401
Testperson 2,02,40,18581,4,3.776957
Testperson 2,01,100,2453,0,0.904159
Testperson 2,10,20,27742,6,4.502523
Testperson 2,07,60,14371,4,1.988982
Testperson 2,10,40,17868,5,4.907764
Testperson 2,08,40,22279,4,1.041481
Testperson 2,04,50,34081,5,4.675617
Testperson 2,07,30,24330,4,7.019754
Testperson 2,03,100,3673,1,2.852566
Testperson 2,02,20,30292,5,5.643936
Testperson 2,09,50,24634,3,3.245331
Testperson 2,10,30,21541,4,1.723765
Testperson 2,03,80,20670,3,2.12284
Testperson 2,06,20,66681,4,1.631416
Testperson 2,03,50,37120,4,2.161366
Testperson 2,01,10,78200,6,2.112447
Testperson 2,10,90,5113,3,1.669623
Testperson 2,05,60,22344,3,1.999067
Testperson 2,10,100,2234,0,1.229035
Testperson 2,09,90,7945,2,1.465645
Testperson 2,06,50,37689,3,1.621025
Testperson 2,06,30,52569,4,2.97735
Testperson 2,07,90,4373,2,3.923182
Testperson 2,08,50,19384,4,1.674633
Testperson 2,03,70,27207,4,1.376984
Testperson 2,04,40,38864,5,2.242163
Testperson 2,08,90,6055,1,1.562043
Testperson 2,06,70,26423,2,1.513843
Testperson 2,06,90,10657,2,1.32113
Testperson 2,07,20,31227,4,1.612728
Testperson 2,03,60,32321,4,1.666784
Testperson 2,01,70,21606,4,2.204342
Testperson 2,10,60,13338,5,1.508514
Testperson 2,02,30,23063,5,1.822093
Testperson 2,07,10,48214,4,6.32854
Testperson 3,08,30,26804,6,5.165207
Testperson 3,04,30,46006,5,0.862589
Testperson 3,02,10,47183,6,0.746634
Testperson 3,05,70,18298,3,1.814978
Testperson 3,05,40,30226,4,1.083963
Testperson 3,05,20,45730,4,1.248591
Testperson 3,01,50,30418,5,2.564854
Testperson 3,02,100,1878,0,1.672957
Testperson 3,01,30,42040,5,3.417009
Testperson 3,01,60,26071,4,0.887974
Testperson 3,09,100,2511,0,1.615658
Testperson 3,05,90,7623,1,1.011645
Testperson 3,07,40,19798,4,1.772547
Testperson 3,09,20,43540,4,0.984651
Testperson 3,03,40,42141,5,0.756966
Testperson 3,03,90,12381,2,1.794614
Testperson 3,02,70,10528,3,1.654284
Testperson 3,09,10,64889,4,2.314493
Testperson 3,01,90,8821,1,3.599572
Testperson 3,02,80,7533,1,0.986108
Testperson 3,06,40,43737,2,1.640789
Testperson 3,02,90,4151,1,0.731978
Testperson 3,07,80,8245,1,0.845538
Testperson 3,05,50,26175,2,2.032875
Testperson 3,04,20,57167,5,1.290539
Testperson 3,06,80,19411,2,4.34946
Testperson 3,05,30,36281,3,2.038109
Testperson 3,05,80,13466,2,4.284866
Testperson 3,04,90,11258,1,2.458031
Testperson 3,10,10,43294,6,3.660649
Testperson 3,03,10,85126,6,0.771998
Testperson 3,08,10,51322,6,0.837898
Testperson 3,04,10,81772,6,2.637746
Testperson 3,04,80,18731,3,1.546863
Testperson 3,07,70,11592,2,2.439571
Testperson 3,04,100,4048,0,2.457257
Testperson 3,08,70,13727,2,2.420213
Testperson 3,07,50,17001,2,1.661584
Testperson 3,03,20,61290,5,1.773474
Testperson 3,09,40,28271,5,1.088772
Testperson 3,04,70,24746,2,1.68208
Testperson 3,10,80,8359,2,1.70927
Testperson 3,08,100,2180,0,1.204393
Testperson 3,06,100,2903,0,0.636672
Testperson 3,09,30,34009,3,2.830329
Testperson 3,10,50,15545,5,1.495437
Testperson 3,05,10,67123,5,1.732306
Testperson 3,08,20,34101,6,1.447411
Testperson 3,01,80,15978,3,1.672639
Testperson 3,09,80,13392,3,1.471756
Testperson 3,05,100,2453,0,1.041853
Testperson 3,02,50,15773,5,1.36752
Testperson 3,01,20,53424,6,1.749673
Testperson 3,02,60,13203,4,2.124038
Testperson 3,09,70,17639,4,1.003157
Testperson 3,06,10,95297,4,1.216261
Testperson 3,08,60,16605,6,2.252218
Testperson 3,03,30,49608,5,1.840849
Testperson 3,09,60,21225,5,1.09789
Testperson 3,01,40,34958,5,2.329319
Testperson 3,10,70,11088,5,2.153063
Testperson 3,07,100,1757,0,1.120394
Testperson 3,08,80,10202,1,1.420948
Testperson 3,06,60,32304,2,1.197058
Testperson 3,04,60,29570,3,1.100148
Testperson 3,02,40,18581,5,1.736726
Testperson 3,01,100,2453,0,1.71035
Testperson 3,10,20,27742,6,1.407218
Testperson 3,07,60,14371,4,6.72951
Testperson 3,10,40,17868,5,1.291375
Testperson 3,08,40,22279,6,1.690615
Testperson 3,04,50,34081,5,1.460214
Testperson 3,07,30,24330,4,1.68101
Testperson 3,03,100,3673,0,1.05943
Testperson 3,02,20,30292,6,1.244252
Testperson 3,09,50,24634,4,1.245977
Testperson 3,10,30,21541,6,1.084108
Testperson 3,03,80,20670,4,1.561052
Testperson 3,06,20,66681,4,1.391087
Testperson 3,03,50,37120,5,1.238737
Testperson 3,01,10,78200,6,1.589514
Testperson 3,10,90,5113,1,2.555473
Testperson 3,05,60,22344,1,0.79183
Testperson 3,10,100,2234,1,0.533111
Testperson 3,09,90,7945,1,0.803684
Testperson 3,06,50,37689,3,1.458007
Testperson 3,06,30,52569,4,1.405787
Testperson 3,07,90,4373,0,2.088596
Testperson 3,08,50,19384,4,1.495658
Testperson 3,03,70,27207,4,3.155108
Testperson 3,04,40,38864,4,1.177059
Testperson 3,08,90,6055,1,3.028184
Testperson 3,06,70,26423,1,1.055161
Testperson 3,06,90,10657,0,1.30858
Testperson 3,07,20,31227,4,2.558351
Testperson 3,03,60,32321,5,2.135092
Testperson 3,01,70,21606,4,1.756505
Testperson 3,10,60,13338,5,1.3431
Testperson 3,02,30,23063,6,1.557705
Testperson 3,07,10,48214,6,0.980769
Testperson 4,08,30,26804,5,2.471345
Testperson 4,04,30,46006,4,1.026033
Testperson 4,02,10,47183,6,0.824552
Testperson 4,05,70,18298,2,1.616886
Testperson 4,05,40,30226,3,0.914117
Testperson 4,05,20,45730,4,0.8863
Testperson 4,01,50,30418,4,0.926173
Testperson 4,02,100,1878,0,1.274769
Testperson 4,01,30,42040,5,1.102288
Testperson 4,01,60,26071,4,0.74456
Testperson 4,09,100,2511,0,1.06182
Testperson 4,05,90,7623,1,1.189418
Testperson 4,07,40,19798,3,1.706769
Testperson 4,09,20,43540,5,0.883592
Testperson 4,03,40,42141,5,1.636329
Testperson 4,03,90,12381,2,1.144676
Testperson 4,02,70,10528,3,1.020637
Testperson 4,09,10,64889,4,0.908011
Testperson 4,01,90,8821,2,1.859141
Testperson 4,02,80,7533,2,0.838338
Testperson 4,06,40,43737,3,1.096253
Testperson 4,02,90,4151,1,1.23121
Testperson 4,07,80,8245,1,1.505189
Testperson 4,05,50,26175,2,1.380261
Testperson 4,04,20,57167,4,1.618806
Testperson 4,06,80,19411,2,1.458821
Testperson 4,05,30,36281,4,1.02032
Testperson 4,05,80,13466,3,1.434167
Testperson 4,04,90,11258,2,1.291124
Testperson 4,10,10,43294,6,1.812536
Testperson 4,03,10,85126,6,0.529453
Testperson 4,08,10,51322,6,1.089609
Testperson 4,04,10,81772,6,0.755322
Testperson 4,04,80,18731,4,1.433877
Testperson 4,07,70,11592,3,1.622117
Testperson 4,04,100,4048,0,1.177361
Testperson 4,08,70,13727,5,2.926881
Testperson 4,07,50,17001,3,1.890241
Testperson 4,03,20,61290,5,1.739719
Testperson 4,09,40,28271,5,1.154543
Testperson 4,04,70,24746,4,2.291126
Testperson 4,10,80,8359,4,1.859999
Testperson 4,08,100,2180,0,1.326617
Testperson 4,06,100,2903,0,0.499217
Testperson 4,09,30,34009,4,1.578363
Testperson 4,10,50,15545,5,3.717989
Testperson 4,05,10,67123,5,1.62202
Testperson 4,08,20,34101,5,0.815898
Testperson 4,01,80,15978,4,1.503034
Testperson 4,09,80,13392,4,1.527352
Testperson 4,05,100,2453,0,1.180213
Testperson 4,02,50,15773,6,1.150495
Testperson 4,01,20,53424,5,5.70914
Testperson 4,02,60,13203,5,1.63448
Testperson 4,09,70,17639,5,1.530368
Testperson 4,06,10,95297,4,1.662209
Testperson 4,08,60,16605,5,1.364274
Testperson 4,03,30,49608,5,0.82396
Testperson 4,09,60,21225,5,1.442093
Testperson 4,01,40,34958,6,1.544865
Testperson 4,10,70,11088,4,1.601619
Testperson 4,07,100,1757,0,1.133912
Testperson 4,08,80,10202,4,3.942379
Testperson 4,06,60,32304,4,1.911617
Testperson 4,04,60,29570,4,2.455457
Testperson 4,02,40,18581,6,1.540726
Testperson 4,01,100,2453,0,0.803755
Testperson 4,10,20,27742,5,1.525867
Testperson 4,07,60,14371,4,1.77036
Testperson 4,10,40,17868,5,1.131077
Testperson 4,08,40,22279,5,1.542606
Testperson 4,04,50,34081,5,0.703291
Testperson 4,07,30,24330,5,1.272403
Testperson 4,03,100,3673,0,1.374644
Testperson 4,02,20,30292,6,0.988205
