reference_image,test_image,img_size,response,resptime
08,30,26804,6,14.743207
04,30,46006,6,13.563687
02,10,47183,6,9.171541
05,70,18298,4,5.199837
05,40,30226,4,2.020607
05,20,45730,4,1.994877
01,50,30418,4,12.800213
02,100,1878,0,2.464843
01,30,42040,5,3.486712
01,60,26071,3,1.821868
09,100,2511,0,1.59994
05,90,7623,0,4.589249
07,40,19798,3,3.941353
09,20,43540,6,3.800727
03,40,42141,6,5.493674
03,90,12381,2,2.76931
02,70,10528,3,3.043644
09,10,64889,6,3.253101
01,90,8821,2,3.417156
02,80,7533,3,2.094839
06,40,43737,4,3.101904
02,90,4151,1,2.143336
07,80,8245,2,2.804008
05,50,26175,4,3.522225
04,20,57167,6,5.393406
06,80,19411,3,2.009376
05,30,36281,4,3.471037
05,80,13466,3,6.614227
04,90,11258,3,1.864929
10,10,43294,6,1.825722
03,10,85126,5,3.077037
08,10,51322,5,5.437359
04,10,81772,5,1.694404
04,80,18731,4,2.309558
07,70,11592,6,1.88293
04,100,4048,0,1.47783
08,70,13727,4,2.828204
07,50,17001,4,5.670675
03,20,61290,5,6.644215
09,40,28271,4,4.681767
04,70,24746,4,2.323417
10,80,8359,4,2.335455
08,100,2180,0,1.336388
06,100,2903,0,0.86107
09,30,34009,5,3.196485
10,50,15545,5,4.508962
05,10,67123,5,1.900637
08,20,34101,5,9.638347
01,80,15978,4,4.2807
09,80,13392,4,1.190494
05,100,2453,0,1.087153
02,50,15773,4,2.323935
01,20,53424,5,3.352524
02,60,13203,4,3.414847
09,70,17639,3,1.552884
06,10,95297,4,2.498165
08,60,16605,4,1.447703
03,30,49608,6,7.472583
09,60,21225,4,1.74368
01,40,34958,4,2.594382
10,70,11088,5,5.390528
07,100,1757,0,1.048154
08,80,10202,2,1.616527
06,60,32304,3,2.396967
04,60,29570,5,1.729401
02,40,18581,4,3.776957
01,100,2453,0,0.904159
10,20,27742,6,4.502523
07,60,14371,4,1.988982
10,40,17868,5,4.907764
08,40,22279,4,1.041481
04,50,34081,5,4.675617
07,30,24330,4,7.019754
03,100,3673,1,2.852566
02,20,30292,5,5.643936
09,50,24634,3,3.245331
10,30,21541,4,1.723765
03,80,20670,3,2.12284
06,20,66681,4,1.631416
03,50,37120,4,2.161366
01,10,78200,6,2.112447
10,90,5113,3,1.669623
05,60,22344,3,1.999067
10,100,2234,0,1.229035
09,90,7945,2,1.465645
06,50,37689,3,1.621025
06,30,52569,4,2.97735
07,90,4373,2,3.923182
08,50,19384,4,1.674633
03,70,27207,4,1.376984
04,40,38864,5,2.242163
08,90,6055,1,1.562043
06,70,26423,2,1.513843
06,90,10657,2,1.32113
07,20,31227,4,1.612728
03,60,32321,4,1.666784
01,70,21606,4,2.204342
10,60,13338,5,1.508514
02,30,23063,5,1.822093
07,10,48214,4,6.32854
