reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c50/i08_8_11zon.bmp,0,5,2.501433
img/i03.bmp,img/c70/i03_3_11zon.bmp,0,4,1.812034
img/i04.bmp,img/c40/i04_4_11zon.bmp,0,5,1.512854
img/i08.bmp,img/c90/i08_8_11zon.bmp,0,1,4.387596
img/i06.bmp,img/c70/i06_6_11zon.bmp,0,3,1.974088
img/i06.bmp,img/c90/i06_6_11zon.bmp,0,1,1.82931
img/i07.bmp,img/c20/i07_7_11zon.bmp,0,4,1.775017
img/i03.bmp,img/c60/i03_3_11zon.bmp,0,5,2.531748
img/i01.bmp,img/c70/i01_1_11zon.bmp,0,5,1.632373
img/i10.bmp,img/c60/i10_10_11zon.bmp,0,6,3.504314
img/i02.bmp,img/c30/i02_2_11zon.bmp,0,6,1.813248
img/i07.bmp,img/c10/i07_7_11zon.bmp,0,6,5.601309
