reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c50/i08_8_11zon.bmp,0,6,3.924935
img/i03.bmp,img/c70/i03_3_11zon.bmp,0,5,1.778346
img/i04.bmp,img/c40/i04_4_11zon.bmp,0,6,1.650532
img/i08.bmp,img/c90/i08_8_11zon.bmp,0,2,2.894053
img/i06.bmp,img/c70/i06_6_11zon.bmp,0,4,6.414133
img/i06.bmp,img/c90/i06_6_11zon.bmp,0,1,5.877335
img/i07.bmp,img/c20/i07_7_11zon.bmp,0,6,2.619268
img/i03.bmp,img/c60/i03_3_11zon.bmp,0,6,2.725075
img/i01.bmp,img/c70/i01_1_11zon.bmp,0,6,3.53638
img/i10.bmp,img/c60/i10_10_11zon.bmp,0,6,5.043791
img/i02.bmp,img/c30/i02_2_11zon.bmp,0,6,1.589068
img/i07.bmp,img/c10/i07_7_11zon.bmp,0,6,2.725512
