reference_image,test_image,ref_position,response,resptime
img/i08.bmp,img/c30/i08_8_11zon.bmp,0,6,17.39316
img/i04.bmp,img/c30/i04_4_11zon.bmp,0,6,9.089288
img/i02.bmp,img/c10/i02_2_11zon.bmp,0,6,3.811926
img/i05.bmp,img/c70/i05_5_11zon.bmp,0,5,4.462188
img/i05.bmp,img/c40/i05_5_11zon.bmp,0,5,7.276009
img/i05.bmp,img/c20/i05_5_11zon.bmp,0,6,2.846018
img/i01.bmp,img/c50/i01_1_11zon.bmp,0,5,8.066345
img/i02.bmp,img/c100/i02_2_11zon.bmp,0,0,2.817881
img/i01.bmp,img/c30/i01_1_11zon.bmp,0,6,10.782978
img/i01.bmp,img/c60/i01_1_11zon.bmp,0,5,2.4532
img/i09.bmp,img/c100/i09_9_11zon.bmp,0,0,7.983945
img/i05.bmp,img/c90/i05_5_11zon.bmp,0,1,7.48757
img/i07.bmp,img/c40/i07_7_11zon.bmp,0,5,5.867242
img/i09.bmp,img/c20/i09_9_11zon.bmp,0,6,16.02207
img/i03.bmp,img/c40/i03_3_11zon.bmp,0,5,7.286256
img/i03.bmp,img/c90/i03_3_11zon.bmp,0,2,9.847714
img/i02.bmp,img/c70/i02_2_11zon.bmp,0,4,5.04439
img/i09.bmp,img/c10/i09_9_11zon.bmp,0,6,31.16211
img/i01.bmp,img/c90/i01_1_11zon.bmp,0,1,6.15691
img/i02.bmp,img/c80/i02_2_11zon.bmp,0,3,40.631911
img/i06.bmp,img/c40/i06_6_11zon.bmp,0,5,4.661038
img/i02.bmp,img/c90/i02_2_11zon.bmp,0,1,6.602048
img/i07.bmp,img/c80/i07_7_11zon.bmp,0,3,3.893013
img/i05.bmp,img/c50/i05_5_11zon.bmp,0,6,10.379639
img/i04.bmp,img/c20/i04_4_11zon.bmp,0,6,10.870352
img/i06.bmp,img/c80/i06_6_11zon.bmp,0,2,6.750698
img/i05.bmp,img/c30/i05_5_11zon.bmp,0,6,8.291642
img/i05.bmp,img/c80/i05_5_11zon.bmp,0,4,8.058923
img/i04.bmp,img/c90/i04_4_11zon.bmp,0,2,7.940541
img/i10.bmp,img/c10/i10_10_11zon.bmp,0,6,8.220162
img/i03.bmp,img/c10/i03_3_11zon.bmp,0,6,3.700334
img/i08.bmp,img/c10/i08_8_11zon.bmp,0,6,6.298093
img/i04.bmp,img/c10/i04_4_11zon.bmp,0,6,9.333544
img/i04.bmp,img/c80/i04_4_11zon.bmp,0,5,9.702018
img/i07.bmp,img/c70/i07_7_11zon.bmp,0,5,5.523608
img/i04.bmp,img/c100/i04_4_11zon.bmp,0,0,5.175393
img/i08.bmp,img/c70/i08_8_11zon.bmp,0,4,11.928279
img/i07.bmp,img/c50/i07_7_11zon.bmp,0,5,3.672278
img/i03.bmp,img/c20/i03_3_11zon.bmp,0,6,4.464772
img/i09.bmp,img/c40/i09_9_11zon.bmp,0,6,16.144662
img/i04.bmp,img/c70/i04_4_11zon.bmp,0,5,6.264058
img/i10.bmp,img/c80/i10_10_11zon.bmp,0,3,8.414145
img/i08.bmp,img/c100/i08_8_11zon.bmp,0,0,4.370466
img/i06.bmp,img/c100/i06_6_11zon.bmp,0,0,3.651127
img/i09.bmp,img/c30/i09_9_11zon.bmp,0,5,10.69119
img/i10.bmp,img/c50/i10_10_11zon.bmp,0,5,8.191158
img/i05.bmp,img/c10/i05_5_11zon.bmp,0,6,6.181402
img/i08.bmp,img/c20/i08_8_11zon.bmp,0,6,4.610986
img/i01.bmp,img/c80/i01_1_11zon.bmp,0,3,10.528288
img/i09.bmp,img/c80/i09_9_11zon.bmp,0,2,6.625261
img/i05.bmp,img/c100/i05_5_11zon.bmp,0,0,2.218437
img/i02.bmp,img/c50/i02_2_11zon.bmp,0,5,4.975264
img/i01.bmp,img/c20/i01_1_11zon.bmp,0,5,6.011091
img/i02.bmp,img/c60/i02_2_11zon.bmp,0,5,4.45888
img/i09.bmp,img/c70/i09_9_11zon.bmp,0,4,13.670686
img/i06.bmp,img/c10/i06_6_11zon.bmp,0,6,16.645896
img/i08.bmp,img/c60/i08_8_11zon.bmp,0,4,7.844267
img/i03.bmp,img/c30/i03_3_11zon.bmp,0,6,7.428484
img/i09.bmp,img/c60/i09_9_11zon.bmp,0,5,11.780372
img/i01.bmp,img/c40/i01_1_11zon.bmp,0,5,9.176362
img/i10.bmp,img/c70/i10_10_11zon.bmp,0,4,8.178399
img/i07.bmp,img/c100/i07_7_11zon.bmp,0,0,1.542765
img/i08.bmp,img/c80/i08_8_11zon.bmp,0,3,5.212473
img/i06.bmp,img/c60/i06_6_11zon.bmp,0,3,6.379806
img/i04.bmp,img/c60/i04_4_11zon.bmp,0,5,10.974816
img/i02.bmp,img/c40/i02_2_11zon.bmp,0,5,17.556418
img/i01.bmp,img/c100/i01_1_11zon.bmp,0,0,1.657103
img/i10.bmp,img/c20/i10_10_11zon.bmp,0,6,6.578074
img/i07.bmp,img/c60/i07_7_11zon.bmp,0,5,5.286818
img/i10.bmp,img/c40/i10_10_11zon.bmp,0,6,5.630336
img/i08.bmp,img/c40/i08_8_11zon.bmp,0,6,7.801446
img/i04.bmp,img/c50/i04_4_11zon.bmp,0,5,5.036435
img/i07.bmp,img/c30/i07_7_11zon.bmp,0,6,3.127091
img/i03.bmp,img/c100/i03_3_11zon.bmp,0,0,2.155438
